"fips","state","densityMi","pop2022","pop2021","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","mormonPop","mormonRate"
"49","Utah","41.05102",3373162,3322389,3271616,3220842,2763885,"0.01528",50773,"0.22044",2126216,0.6303332007179021
"6","California","256.74242",39995077,39766650,39538223,39309799,37253956,"0.00574",228427,"0.07358",756507,0.018915002963989794
"16","Idaho","22.91071",1893410,1866258,1839106,1811950,1567582,"0.01455",27152,"0.20785",462069,0.2440406462414374
"4","Arizona","64.29387",7303398,7227450,7151502,7075549,6392017,"0.01051",75948,"0.14258",436521,0.05976957575090389
"48","Texas","114.63179",29945493,29545499,29145505,28745507,25145561,"0.01354",399994,"0.19089",362037,0.012089866077676531
"53","Washington","118.89715",7901429,7803355,7705281,7607206,6724540,"0.01257",98074,"0.17501",289479,0.03663628439868282
"32","Nevada","29.01619",3185426,3145020,3104614,3064205,2700551,"0.01285",40406,"0.17955",184703,0.05798376732028934
"12","Florida","411.85199",22085563,21811875,21538187,21264502,18801310,"0.01255",273688,"0.17468",160266,0.00725659563217836
"41","Oregon","44.98992",4318492,4277874,4237256,4196636,3831074,"0.00949",40618,"0.12723",153540,0.03555407767341007
"8","Colorado","57.14496",5922618,5848166,5773714,5699264,5029196,"0.01273",74452,"0.17765",150059,0.025336599456524125
"51","Virginia","221.76417",8757467,8694430,8631393,8568357,8001024,"0.00725",63037,"0.09454",96496,0.011018711232368902
"37","North Carolina","218.44107",10620168,10529778,10439388,10348993,9535483,"0.00858",90390,"0.11375",89083,0.008388097062118039
"13","Georgia","189.81378",10916760,10814334,10711908,10609487,9687653,"0.00947",102426,"0.12687",87411,0.00800704604662922
"36","New York","432.15802",20365879,20283564,20201249,20118937,19378102,"0.00406",82315,"0.05097",83293,0.004089830839120669
"15","Hawaii","229.52904",1474265,1464768,1455271,1445774,1360301,"0.00648",9497,"0.08378",75009,0.05087891254286034
"29","Missouri","90.01936",6188111,6171512,6154913,6138318,5988927,"0.00269",16599,"0.03326",72525,0.011720054795397174
"35","New Mexico","17.55338",2129190,2123356,2117522,2111685,2059179,"0.00275",5834,"0.03400",69488,0.032635885007913805
"56","Wyoming","5.96845",579495,578173,576851,575524,563626,"0.00229",1322,"0.02816",67729,0.11687590056859852
"39","Ohio","290.05741",11852036,11825742,11799448,11773150,11536504,"0.00222",26294,"0.02735",62623,0.005283733528990293
"17","Illinois","230.71172",12808884,12810696,12812508,12814324,12830632,"-0.00014",-1812,"-0.00170",56888,0.0044412924654482
"42","Pennsylvania","291.95101",13062764,13032732,13002700,12972667,12702379,"0.00230",30032,"0.02837",52290,0.004002981298598061
"47","Tennessee","170.33559",7023788,6967314,6910840,6854371,6346105,"0.00811",56474,"0.10679",52290,0.0074447007796932365
"30","Montana","7.57964",1103187,1093706,1084225,1074744,989415,"0.00867",9481,"0.11499",50552,0.04582360016932759
"40","Oklahoma","58.32718",4000953,3980153,3959353,3938551,3751351,"0.00523",20800,"0.06654",49227,0.012303818615214925
